t_s,phase,x_m,h_m,V_mps,gamma_rad,m_kg,Mach,alpha_deg,phi,q_Pa,CL,CD,L_N,D_N,T_N,mdot_fuel_kgs,M4,Tt4_K,unstart_flag
35.0,cruise,49905.62037898408,19450.331797823106,1425.302425143906,0.006770677851333978,803.869868069535,4.830352580270812,26.89894624201557,0.0,97506.1945691712,0.6816003296971734,0.07525842339238303,6646.025436586383,733.8162474266766,0.0,0.0,0.0,0.0,0.0
36.0,cruise,51331.68211845718,19460.062850506296,1428.171790169464,0.007328529896074989,803.5407937041972,4.840076863700376,26.70851496226118,0.0,97749.06172644027,0.67625549301387,0.07435834842867076,6610.333992945707,726.8458790430291,0.0,0.0,0.0,0.0,0.0
37.0,cruise,52759.33357692946,19469.921420693652,1427.2010299971344,0.006479350880340061,803.5407937041972,4.836786955663656,26.732876799213958,0.0,97464.57677112415,0.6770482283928853,0.07449695556140237,6598.821903395196,726.0814244529327,0.0,0.0,0.0,0.0,0.0
38.0,cruise,54186.02679538397,19478.554287288447,1426.2394581670005,0.005619830554691891,803.5407937041972,4.833528186935796,26.763756217520324,0.0,97200.86848295781,0.6780047274818861,0.07466226469772701,6590.2648346790465,725.7236971523547,0.0,0.0,0.0,0.0,0.0
39.0,cruise,55611.769770837476,19485.95023287955,1425.2866567320295,0.004752543831435568,803.5407937041972,4.830299141093519,26.801058602747432,0.0,96957.88958850881,0.6791227903976642,0.07485403430922061,6584.631252841675,725.7689193807863,0.0,0.0,0.0,0.0,0.0
40.0,cruise,57037.842104572046,19492.761924850773,1428.169932851498,0.005249256653623629,803.2134425801787,4.840070569246321,26.627217953364433,0.0,97246.04906714283,0.6741974004537823,0.07402484446569757,6556.303348546866,719.8623657098842,0.0,0.0,0.0,0.0,0.0
41.0,cruise,58465.52355455776,19499.620811685098,1427.227746411683,0.004356803545705688,803.2134425801787,4.836877497642449,26.667880019104675,0.0,97012.7915448857,0.6753972631201915,0.07422874307070208,6552.217389706546,720.11375781569,0.0,0.0,0.0,0.0,0.0
42.0,cruise,59892.2725575203,19505.198994801638,1426.2938725286344,0.00346049651551602,803.2134425801787,4.83371259730898,26.714965589065294,0.0,96800.68582925308,0.6767588642082037,0.07445916944219841,6551.072219638048,720.769866828137,0.0,0.0,0.0,0.0,0.0
43.0,cruise,61318.0960519496,19509.494509518554,1425.3678326470829,0.0025629054298983156,803.2134425801787,4.830574246421214,26.768344557970448,0.0,96609.56267503285,0.6782791078468428,0.07471578303771742,6552.824798069492,721.8259124196518,0.0,0.0,0.0,0.0,0.0
44.0,cruise,62744.27050381581,19513.163693873605,1428.2666604474737,0.0030300839299380916,802.8871703200217,4.840398379249701,26.610727911448038,0.0,96946.80715633532,0.6737624283942256,0.07395350205213297,6531.911621471918,716.9555901983783,0.0,0.0,0.0,0.0,0.0
45.0,cruise,64172.07281144294,19516.84183165174,1427.349211020827,0.0021202908286622893,802.8871703200217,4.837289141429648,26.667287868091222,0.0,96766.15453055013,0.6753603113118003,0.07422151858713168,6535.202024819811,718.2130937094483,0.0,0.0,0.0,0.0,0.0
46.0,cruise,65598.96403979204,19519.221150950907,1426.4389584197081,0.0012130972676053509,802.8871703200217,4.834204293664747,26.730030212620324,0.0,96606.51862153424,0.6771142037944362,0.07451542451662656,6541.3645937772535,719.8675746157013,0.0,0.0,0.0,0.0,0.0
