x_m,wall_upper_m,wall_lower_m,height_m,area_m2
-7.253012048192770955e-02,7.207869400251321230e-03,-7.207869400251321230e-03,1.441573880050264246e-02,3.603934700125660615e-03
-7.084337349397590300e-02,7.207186231166355997e-03,-7.207186231166355997e-03,1.441437246233271199e-02,3.603593115583177998e-03
-6.915662650602409645e-02,7.206502604826185709e-03,-7.206502604826185709e-03,1.441300520965237142e-02,3.603251302413092855e-03
-6.746987951807228989e-02,7.205819500518947061e-03,-7.205819500518947061e-03,1.441163900103789412e-02,3.602909750259473531e-03
-6.578313253012048334e-02,7.205137896645862072e-03,-7.205137896645862072e-03,1.441027579329172414e-02,3.602568948322931036e-03
-6.409638554216867679e-02,7.204458769320461892e-03,-7.204458769320461892e-03,1.440891753864092378e-02,3.602229384660230946e-03
-6.240963855421687023e-02,7.203783090971912356e-03,-7.203783090971912356e-03,1.440756618194382471e-02,3.601891545485956178e-03
-6.072289156626506368e-02,7.203111828954381589e-03,-7.203111828954381589e-03,1.440622365790876318e-02,3.601555914477190794e-03
-5.903614457831324325e-02,7.202445944164468858e-03,-7.202445944164468858e-03,1.440489188832893772e-02,3.601222972082234429e-03
-5.734939759036143669e-02,7.201786389668617637e-03,-7.201786389668617637e-03,1.440357277933723527e-02,3.600893194834308818e-03
-5.566265060240963014e-02,7.201134109342471369e-03,-7.201134109342471369e-03,1.440226821868494274e-02,3.600567054671235685e-03
-5.397590361445782359e-02,7.200490036524128702e-03,-7.200490036524128702e-03,1.440098007304825740e-02,3.600245018262064351e-03
-5.228915662650601703e-02,7.199855092683115319e-03,-7.199855092683115319e-03,1.439971018536623064e-02,3.599927546341557660e-03
-5.060240963855421048e-02,7.199230186107053418e-03,-7.199230186107053418e-03,1.439846037221410684e-02,3.599615093053526709e-03
-4.891566265060240393e-02,7.198616210607758359e-03,-7.198616210607758359e-03,1.439723242121551672e-02,3.599308105303879179e-03
-4.722891566265059737e-02,7.198014044248668072e-03,-7.198014044248668072e-03,1.439602808849733614e-02,3.599007022124334036e-03
-4.554216867469879082e-02,7.197424548095346028e-03,-7.197424548095346028e-03,1.439484909619069206e-02,3.598712274047673014e-03
-4.385542168674698427e-02,7.196848564990765591e-03,-7.196848564990765591e-03,1.439369712998153118e-02,3.598424282495382796e-03
-4.216867469879517771e-02,7.196286918357148663e-03,-7.196286918357148663e-03,1.439257383671429733e-02,3.598143459178574331e-03
-4.048192771084337116e-02,7.195740411025980561e-03,-7.195740411025980561e-03,1.439148082205196112e-02,3.597870205512990281e-03
-3.879518072289156461e-02,7.195209824097805774e-03,-7.195209824097805774e-03,1.439041964819561155e-02,3.597604912048902887e-03
-3.710843373493975805e-02,7.194695915833451694e-03,-7.194695915833451694e-03,1.438939183166690339e-02,3.597347957916725847e-03
-3.542168674698795150e-02,7.194199420578108010e-03,-7.194199420578108010e-03,1.438839884115621602e-02,3.597099710289054005e-03
-3.373493975903614495e-02,7.193721047719852518e-03,-7.193721047719852518e-03,1.438744209543970504e-02,3.596860523859926259e-03
-3.204819277108433839e-02,7.193261480683960790e-03,-7.193261480683960790e-03,1.438652296136792158e-02,3.596630740341980395e-03
-3.036144578313253184e-02,7.192821375964454297e-03,-7.192821375964454297e-03,1.438564275192890859e-02,3.596410687982227149e-03
-2.867469879518072529e-02,7.192401362194161124e-03,-7.192401362194161124e-03,1.438480272438832225e-02,3.596200681097080562e-03
-2.698795180722891873e-02,7.192002039254596392e-03,-7.192002039254596392e-03,1.438400407850919278e-02,3.596001019627298196e-03
-2.530120481927711218e-02,7.191623977426848946e-03,-7.191623977426848946e-03,1.438324795485369789e-02,3.595811988713424473e-03
-2.361445783132530563e-02,7.191267716584660852e-03,-7.191267716584660852e-03,1.438253543316932170e-02,3.595633858292330426e-03
-2.192771084337349907e-02,7.190933765430782172e-03,-7.190933765430782172e-03,1.438186753086156434e-02,3.595466882715391086e-03
-2.024096385542169252e-02,7.190622600777630581e-03,-7.190622600777630581e-03,1.438124520155526116e-02,3.595311300388815291e-03
-1.855421686746988597e-02,7.190334666873249812e-03,-7.190334666873249812e-03,1.438066933374649962e-02,3.595167333436624906e-03
-1.686746987951807941e-02,7.190070374773495018e-03,-7.190070374773495018e-03,1.438014074954699004e-02,3.595035187386747509e-03
-1.518072289156627286e-02,7.189830101761234341e-03,-7.189830101761234341e-03,1.437966020352246868e-02,3.594915050880617170e-03
-1.349397590361445243e-02,7.189614190813423643e-03,-7.189614190813423643e-03,1.437922838162684729e-02,3.594807095406711821e-03
-1.180722891566265975e-02,7.189422950116745696e-03,-7.189422950116745696e-03,1.437884590023349139e-02,3.594711475058372848e-03
-1.012048192771083932e-02,7.189256652632441784e-03,-7.189256652632441784e-03,1.437851330526488357e-02,3.594628326316220892e-03
-8.433734939759046645e-03,7.189115535710977577e-03,-7.189115535710977577e-03,1.437823107142195515e-02,3.594557767855488788e-03
-6.746987951807226214e-03,7.188999800757009916e-03,-7.188999800757009916e-03,1.437799960151401983e-02,3.594499900378504958e-03
-5.060240963855433538e-03,7.188909612945136758e-03,-7.188909612945136758e-03,1.437781922589027352e-02,3.594454806472568379e-03
